<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.10.30	30.21	30.25	29.77	29.81	138173	125878968	0
2015.11.02	29.97	30.34	29.90	30.30	130332	112694928	0
2015.11.03	30.20	30.87	30.18	30.65	166227	155777440	0
2015.11.04	30.78	30.96	30.41	30.50	162406	150921656	0
2015.11.05	30.46	30.68	30.05	30.23	150077	135198824	0
2015.11.06	30.28	30.45	30.16	30.27	132930	108654680	0
2015.11.09	30.24	30.45	30.01	30.15	131750	106601316	0
2015.11.10	29.23	29.52	29.02	29.20	226836	199332592	0
2015.11.11	29.09	29.36	28.80	29.03	179093	164103624	0
2015.11.12	29.07	29.21	28.91	28.94	135115	113310624	0
2015.11.13	28.80	28.89	28.07	28.08	182268	158050216	0
2015.11.16	27.85	28.56	27.75	28.55	155387	126096104	0
2015.11.17	28.73	30.23	28.33	28.42	111137	94888380	0
2015.11.18	28.94	29.37	28.88	29.32	179138	160518792	0
2015.11.19	29.41	29.94	29.19	29.70	163883	148677044	0
2015.11.20	29.80	29.98	29.71	29.83	126376	106670768	0
2015.11.23	29.82	29.93	29.34	29.44	120579	102959600	0
2015.11.24	29.33	29.84	29.28	29.73	157250	131237796	0
2015.11.25	29.80	29.81	29.48	29.51	83812	70163320	0
2015.11.27	29.53	29.60	29.40	29.45	52620	43955280	0
2015.11.30	29.50	29.85	29.44	29.59	129738	110199336	0
2015.12.01	29.69	29.70	29.22	29.32	135599	118077708	0
2015.12.02	29.26	29.53	29.02	29.08	131756	108775308	0
2015.12.03	29.13	29.20	28.56	28.80	168516	133452816	0
2015.12.04	28.82	29.81	28.78	29.75	222811	191614572	0
2015.12.07	29.74	29.97	28.80	29.57	141195	110408592	0
2015.12.08	29.36	29.65	29.22	29.56	139875	114039744	0
2015.12.09	29.41	29.42	28.77	28.91	180782	145402656	0
2015.12.10	29.01	29.49	28.88	29.05	124497	98402936	0
2015.12.11	28.80	28.85	28.21	28.29	199180	152429492	0
2015.12.14	28.05	28.17	27.45	28.12	272710	220068540	0
2015.12.15	27.99	28.20	27.59	27.62	232442	182961880	0
2015.12.16	27.75	28.00	27.20	27.84	250179	196946064	0
2015.12.17	28.01	29.38	27.25	27.25	192162	154644544	0
2015.12.18	27.23	27.38	26.45	26.47	266589	215776468	0
2015.12.21	26.82	26.84	26.39	26.83	176962	149877084	0
2015.12.22	26.85	26.93	26.61	26.80	136228	109276892	0
2015.12.23	26.82	27.21	26.80	27.15	124511	103500212	0
2015.12.24	27.25	27.25	26.99	27.00	55674	45195732	0
2015.12.28	26.90	26.92	26.55	26.71	109117	89600896	0
